Date,Scheduled,Actual,Differential
2018-10-01,10:53,11:01,8
2018-10-02,10:53,11:05,12
2018-10-03,10:53,11:05,12
2018-10-04,10:53,11:11,18
2018-10-05,10:53,10:58,5
2018-10-06,10:53,11:15,22
2018-10-07,10:53,10:56,3
2018-10-08,10:53,11:15,22
2018-10-09,10:53,11:26,33
2018-10-10,10:53,10:57,4
2018-10-11,10:53,11:02,9
2018-10-12,10:53,11:44,51
2018-10-13,10:53,11:34,41
2018-10-14,10:53,11:28,35
2018-10-15,10:53,11:27,34
2018-10-16,10:53,11:05,12
2018-10-17,10:53,11:00,7
2018-10-18,10:53,10:56,3
2018-10-19,10:53,11:07,14
2018-10-20,10:53,11:14,21
2018-10-21,10:53,10:56,3
2018-10-22,10:53,11:06,13
2018-10-23,10:53,11:27,34
2018-10-24,10:53,10:56,3
2018-10-25,10:53,11:26,33
2018-10-26,10:53,11:41,48
2018-10-27,10:53,11:36,43
2018-10-28,10:53,11:05,12
2018-10-29,10:53,11:12,19
2018-10-30,10:53,11:07,14
2018-10-31,10:53,11:11,18
2018-11-01,10:53,11:06,13
2018-11-02,10:53,11:07,14
2018-11-03,10:53,11:12,19
2018-11-04,10:53,11:05,12
2018-11-05,10:53,11:41,48
2018-11-06,10:53,11:02,9
2018-11-07,10:53,10:58,5
2018-11-08,10:53,10:56,3
2018-11-09,10:53,11:11,18
2018-11-10,10:53,11:16,23
2018-11-11,10:53,11:01,8
2018-11-12,10:53,11:02,9
2018-11-13,10:53,11:15,22
2018-11-14,10:53,11:01,8
2018-11-15,10:53,10:58,5
2018-11-16,10:53,11:28,35
2018-11-17,10:53,11:05,12
2018-11-18,10:53,10:48,-5
2018-11-19,10:53,11:11,18
2018-11-20,10:53,11:13,20
2018-11-21,10:53,10:58,5
2018-11-22,10:53,11:23,30
2018-11-23,10:53,11:31,38
2018-11-24,10:53,11:33,40
2018-11-25,10:53,10:56,3
2018-11-26,10:53,11:27,34
2018-11-27,10:53,11:59,66
2018-11-28,10:53,11:13,20
2018-11-29,10:53,10:56,3
2018-11-30,10:53,11:27,34
2018-12-01,10:53,11:13,20
2018-12-02,10:53,10:55,2
2018-12-03,10:53,,-653
2018-12-04,10:53,,-653
2018-12-05,10:53,,-653
2018-12-06,10:53,,-653
2018-12-07,10:53,,-653
2018-12-08,10:53,,-653
2018-12-09,10:53,,-653
2018-12-10,10:53,,-653
2018-12-11,10:53,,-653
2018-12-12,10:53,,-653
2018-12-13,10:53,,-653
2018-12-14,10:53,,-653
2018-12-15,10:53,,-653
2018-12-16,10:53,,-653
2018-12-17,10:53,,-653
2018-12-18,10:53,,-653
2018-12-19,10:53,,-653
2018-12-20,10:53,,-653
2018-12-21,10:53,,-653
2018-12-22,10:53,,-653
2018-12-23,10:53,,-653
2018-12-24,10:53,,-653
2018-12-25,10:53,,-653
2018-12-26,10:53,,-653
2018-12-27,10:53,,-653
2018-12-28,10:53,,-653
2018-12-29,10:53,,-653
2018-12-30,10:53,,-653
2018-12-31,10:53,,-653
2019-01-01,10:53,,-653
2019-01-02,10:53,,-653
2019-01-03,10:53,,-653
